enddate,samplesize,favorability_r,results,favorability_d
10/31/2016,24316.0,-9.134909999999998,1,-7.358600000000003
10/31/2016,24316.0,-9.134909999999998,1,-7.369070000000001
10/31/2016,24316.0,-9.134909999999998,1,-7.325099999999999
10/30/2016,1128.0,-5.270159999999997,1,-6.703409999999998
10/30/2016,1128.0,-5.270159999999997,1,-6.842010000000002
10/30/2016,1128.0,-5.270159999999997,1,-6.8803899999999985
10/25/2016,2120.0,-7.791119999999999,1,-4.672559999999997
10/25/2016,2120.0,-7.791119999999999,1,-4.7742099999999965
10/25/2016,2120.0,-7.791119999999999,1,-4.724119999999999
10/25/2016,1221.0,-7.733370000000001,1,-5.349200000000003
10/25/2016,1221.0,-7.733370000000001,1,-5.444920000000003
10/25/2016,1221.0,-7.733370000000001,1,-5.335900000000002
10/31/2016,1018.0,-6.439830000000001,1,-3.7816600000000022
10/31/2016,1018.0,-6.439830000000001,1,-3.74362
10/31/2016,1018.0,-6.439830000000001,1,-3.6837500000000034
10/27/2016,1158.0,-12.750520000000002,1,-8.774239999999999
10/27/2016,1158.0,-12.750520000000002,1,-8.87923
10/27/2016,1158.0,-12.750520000000002,1,-8.79739
10/31/2016,2600.0,-8.3046,1,-7.780169999999998
10/31/2016,2600.0,-8.3046,1,-7.742629999999998
10/31/2016,2600.0,-8.3046,1,-7.773049999999998
10/31/2016,3145.0,-6.15155,1,-5.467829999999999
10/31/2016,3145.0,-6.15155,1,-5.523919999999997
10/31/2016,3145.0,-6.15155,1,-5.436570000000003
10/30/2016,1772.0,-9.650280000000002,1,-6.684489999999997
10/30/2016,1772.0,-9.650280000000002,1,-6.685879999999997
10/30/2016,1772.0,-9.650280000000002,1,-6.705829999999999
10/24/2016,1212.0,-10.661740000000002,1,0.1828300000000027
10/24/2016,1212.0,-10.661740000000002,1,-0.4491999999999976
10/24/2016,1212.0,-10.661740000000002,1,-0.053060000000002105
10/17/2016,1000.0,-10.004289999999997,1,-3.1558300000000017
10/17/2016,1000.0,-10.004289999999997,1,-3.223619999999997
10/17/2016,1000.0,-10.004289999999997,1,-3.1706300000000027
10/26/2016,1209.0,-8.443629999999999,1,-4.363979999999998
10/26/2016,1209.0,-8.443629999999999,1,-4.602069999999998
10/26/2016,1209.0,-8.443629999999999,1,-4.434919999999998
10/26/2016,1824.0,-4.966299999999997,1,-4.213979999999999
10/26/2016,1824.0,-4.966299999999997,1,-4.264400000000002
10/26/2016,1824.0,-4.966299999999997,1,-4.205469999999998
10/31/2016,1500.0,-5.819600000000001,1,-5.496369999999999
10/31/2016,1500.0,-5.819600000000001,1,-5.434730000000002
10/31/2016,1500.0,-5.819600000000001,1,-5.477119999999999
10/30/2016,40816.0,-9.58191,1,-4.33511
10/30/2016,40816.0,-9.58191,1,-4.490169999999999
10/30/2016,40816.0,-9.58191,1,-4.459479999999999
10/30/2016,1299.0,-5.860219999999998,1,-3.6117199999999983
10/30/2016,1299.0,-5.860219999999998,1,-3.6575300000000013
10/30/2016,1299.0,-5.860219999999998,1,-3.5987300000000033
10/18/2016,1007.0,-8.84167,1,-2.795569999999998
10/18/2016,1007.0,-8.84167,1,-2.9985399999999984
10/18/2016,1007.0,-8.84167,1,-2.839489999999998
10/24/2016,1000.0,-10.637079999999997,1,-3.041879999999999
10/24/2016,1000.0,-10.637079999999997,1,-3.076979999999999
10/24/2016,1000.0,-10.637079999999997,1,-2.9609299999999976
10/21/2016,990.0,-8.905549999999998,1,-4.9469899999999996
10/21/2016,990.0,-8.905549999999998,1,-5.085830000000001
10/21/2016,990.0,-8.905549999999998,1,-4.943629999999999
10/24/2016,724.0,-13.747779999999999,1,-8.081780000000002
10/24/2016,724.0,-13.747779999999999,1,-7.955970000000001
10/24/2016,724.0,-13.747779999999999,1,-8.121589999999998
10/23/2016,779.0,-6.7405199999999965,1,-2.1660699999999977
10/23/2016,779.0,-6.7405199999999965,1,-2.4522400000000033
10/23/2016,779.0,-6.7405199999999965,1,-2.1924100000000024
10/24/2016,900.0,-10.130650000000003,1,-1.4417600000000022
10/24/2016,900.0,-10.130650000000003,1,-1.5763999999999996
10/24/2016,900.0,-10.130650000000003,1,-1.642000000000003
10/16/2016,726.0,-10.198810000000002,1,-1.226469999999999
10/16/2016,726.0,-10.198810000000002,1,-1.5026999999999973
10/16/2016,726.0,-10.198810000000002,1,-1.2980099999999979
10/26/2016,1050.0,-11.22598,1,-5.810670000000002
10/26/2016,1050.0,-11.22598,1,-5.833069999999999
10/26/2016,1050.0,-11.22598,1,-5.564360000000001
10/14/2016,845.0,-12.840150000000001,1,-5.325110000000002
10/14/2016,845.0,-12.840150000000001,1,-5.503520000000002
10/14/2016,845.0,-12.840150000000001,1,-5.306739999999998
10/13/2016,1101.0,-7.731549999999999,1,-3.904200000000003
10/13/2016,1101.0,-7.731549999999999,1,-4.197470000000003
10/13/2016,1101.0,-7.731549999999999,1,-3.9007799999999975
10/18/2016,1029.0,-8.872549999999997,1,-1.8358199999999982
10/18/2016,1029.0,-8.872549999999997,1,-2.2011499999999984
10/18/2016,1029.0,-8.872549999999997,1,-2.006999999999998
10/16/2016,778.0,-9.594470000000001,1,-3.003999999999998
10/16/2016,778.0,-9.594470000000001,1,-3.155619999999999
10/16/2016,778.0,-9.594470000000001,1,-2.896639999999998
10/20/2016,1006.0,-9.34767,1,-3.8204700000000003
10/20/2016,1006.0,-9.34767,1,-4.292459999999998
10/20/2016,1006.0,-9.34767,1,-4.075719999999997
10/17/2016,692.0,-12.11186,1,-1.6444199999999967
10/17/2016,692.0,-12.11186,1,-1.86768
10/17/2016,692.0,-12.11186,1,-1.5043799999999976
10/13/2016,1000.0,-8.648429999999998,1,-2.668120000000002
10/13/2016,1000.0,-8.648429999999998,1,-2.8848699999999994
10/13/2016,1000.0,-8.648429999999998,1,-2.7624100000000027
10/23/2016,569.0,-8.006680000000003,1,-5.050989999999999
10/23/2016,569.0,-8.006680000000003,1,-5.205350000000003
10/23/2016,569.0,-8.006680000000003,1,-5.064410000000002
10/13/2016,905.0,-9.721890000000002,1,-2.6972999999999985
10/13/2016,905.0,-9.721890000000002,1,-2.66216
10/13/2016,905.0,-9.721890000000002,1,-2.740479999999998
10/17/2016,912.0,-8.671199999999999,1,-4.191220000000001
10/17/2016,912.0,-8.671199999999999,1,-4.354869999999998
10/17/2016,912.0,-8.671199999999999,1,-4.180439999999997
10/11/2016,953.0,-9.413179999999997,1,-6.590730000000001
10/11/2016,953.0,-9.413179999999997,1,-6.8295400000000015
10/11/2016,953.0,-9.413179999999997,1,-6.598700000000001
9/24/2016,1002.0,-5.109699999999997,1,-7.2057199999999995
9/24/2016,1002.0,-5.109699999999997,1,-7.121859999999998
9/24/2016,1002.0,-5.109699999999997,1,-7.2373699999999985
